Year,Month,Day,Registered,Casual
2010,9,15,0,1
2010,9,16,0,1
2010,9,17,7,2
2010,9,19,10,1
2010,9,20,204,34
2010,9,21,226,109
2010,9,22,289,117
2010,9,23,256,124
2010,9,24,214,156
2010,9,25,288,267
2010,9,26,317,230
2010,9,27,227,65
2010,9,28,320,102
2010,9,29,378,77
2010,9,30,143,22
2010,10,1,425,164
2010,10,2,461,397
2010,10,3,293,223
2010,10,4,278,58
2010,10,5,550,86
2010,10,6,595,94
2010,10,7,726,163
2010,10,8,733,219
2010,10,9,560,622
2010,10,10,492,635
2010,10,11,635,350
2010,10,12,848,248
2010,10,13,902,238
2010,10,14,511,72
2010,10,15,876,280
2010,10,16,835,567
2010,10,17,755,599
2010,10,18,957,194
2010,10,19,965,194
2010,10,20,989,167
2010,10,21,1155,194
2010,10,22,1155,238
2010,10,23,966,760
2010,10,24,857,718
2010,10,25,1125,227
2010,10,26,1305,267
2010,10,27,905,142
2010,10,28,1356,358
2010,10,29,1265,416
2010,10,30,1183,1159
2010,10,31,990,988
2010,11,1,1237,237
2010,11,2,1239,183
2010,11,3,1327,180
2010,11,4,557,45
2010,11,5,1585,295
2010,11,6,1240,605
2010,11,7,1047,395
2010,11,8,1460,163
2010,11,9,1749,215
2010,11,10,1849,226
2010,11,11,1669,418
2010,11,12,1663,396
2010,11,13,1384,916
2010,11,14,1216,823
2010,11,15,1539,218
2010,11,16,721,62
2010,11,17,1768,180
2010,11,18,1690,191
2010,11,19,1730,251
2010,11,20,1547,839
2010,11,21,1213,564
2010,11,22,1670,257
2010,11,23,1628,161
2010,11,24,1356,157
2010,11,25,371,198
2010,11,26,595,197
2010,11,27,590,362
2010,11,28,749,209
2010,11,29,1412,96
2010,11,30,1183,94
2010,12,1,951,40
2010,12,2,1397,89
2010,12,3,1496,113
2010,12,4,975,247
2010,12,5,853,166
2010,12,6,1146,48
2010,12,7,1050,46
2010,12,8,1093,59
2010,12,9,1225,71
2010,12,10,1234,73
2010,12,11,970,184
2010,12,12,385,43
2010,12,13,1005,46
2010,12,14,821,38
2010,12,15,1019,43
2010,12,16,666,12
2010,12,17,838,35
2010,12,18,762,84
2010,12,19,713,101
2010,12,20,992,54
2010,12,21,1011,50
2010,12,22,1012,100
2010,12,23,686,61
2010,12,24,280,72
2010,12,25,89,77
2010,12,26,77,15
2010,12,27,282,26
2010,12,28,636,69
2010,12,29,835,111
2010,12,30,973,148
2010,12,31,663,284
2011,1,1,654,330
2011,1,2,669,131
2011,1,3,1227,120
2011,1,4,1453,108
2011,1,5,1515,82
2011,1,6,1515,88
2011,1,7,1358,148
2011,1,8,891,68
2011,1,9,767,54
2011,1,10,1278,41
2011,1,11,1217,43
2011,1,12,1134,25
2011,1,13,1362,37
2011,1,14,1364,54
2011,1,15,1026,222
2011,1,16,953,251
2011,1,17,883,117
2011,1,18,671,9
2011,1,19,1571,78
2011,1,20,1834,81
2011,1,21,1464,73
2011,1,22,888,93
2011,1,23,836,150
2011,1,24,1328,86
2011,1,25,1796,186
2011,1,26,469,34
2011,1,27,415,15
2011,1,28,1127,38
2011,1,29,974,123
2011,1,30,953,140
2011,1,31,1459,42
2011,2,1,1313,47
2011,2,2,1452,72
2011,2,3,1484,61
2011,2,4,1617,88
2011,2,5,905,100
2011,2,6,1266,354
2011,2,7,1586,120
2011,2,8,1460,64
2011,2,9,1545,52
2011,2,10,1488,46
2011,2,11,1591,148
2011,2,12,1183,288
2011,2,13,1192,397
2011,2,14,1698,208
2011,2,15,1669,139
2011,2,16,1890,218
2011,2,17,2211,258
2011,2,18,2344,578
2011,2,19,1102,532
2011,2,20,1173,639
2011,2,21,910,195
2011,2,22,1368,73
2011,2,23,1769,139
2011,2,24,1701,100
2011,2,25,1334,120
2011,2,26,1544,424
2011,2,27,1707,694
2011,2,28,1358,81
2011,3,1,1706,137
2011,3,2,1896,231
2011,3,3,1554,123
2011,3,4,1722,214
2011,3,5,1433,640
2011,3,6,490,114
2011,3,7,1624,243
2011,3,8,1808,315
2011,3,9,1690,191
2011,3,10,574,46
2011,3,11,1725,246
2011,3,12,1408,724
2011,3,13,1434,979
2011,3,14,1684,359
2011,3,15,1757,289
2011,3,16,1866,321
2011,3,17,2313,423
2011,3,18,2344,883
2011,3,19,1689,1423
2011,3,20,1421,1047
2011,3,21,1672,401
2011,3,22,2235,460
2011,3,23,1914,203
2011,3,24,1693,166
2011,3,25,1899,300
2011,3,26,1514,981
2011,3,27,1220,472
2011,3,28,1798,222
2011,3,29,2103,317
2011,3,30,1360,168
2011,3,31,1494,179
2011,4,1,1909,307
2011,4,2,1354,898
2011,4,3,1597,1651
2011,4,4,2374,734
2011,4,5,1619,167
2011,4,6,2384,413
2011,4,7,2562,571
2011,4,8,1295,172
2011,4,9,1575,879
2011,4,10,1704,1188
2011,4,11,2487,854
2011,4,12,1768,257
2011,4,13,1942,208
2011,4,14,2723,528
2011,4,15,2473,642
2011,4,16,674,121
2011,4,17,2186,1555
2011,4,18,2750,668
2011,4,19,2783,409
2011,4,20,3321,612
2011,4,21,3435,744
2011,4,22,1499,177
2011,4,23,2574,1461
2011,4,24,2480,1708
2011,4,25,3290,772
2011,4,26,3702,676
2011,4,27,3313,546
2011,4,28,3476,568
2011,4,29,3712,878
2011,4,30,3347,1965
2011,5,1,2211,1137
2011,5,2,3539,846
2011,5,3,3834,603
2011,5,4,2371,253
2011,5,5,3809,613
2011,5,6,3702,892
2011,5,7,3098,1612
2011,5,8,2931,1401
2011,5,9,3674,661
2011,5,10,4091,691
2011,5,11,3623,549
2011,5,12,4161,694
2011,5,13,3405,691
2011,5,14,2502,900
2011,5,15,2970,1582
2011,5,16,3177,773
2011,5,17,3435,678
2011,5,18,3308,535
2011,5,19,3826,735
2011,5,20,3998,908
2011,5,21,3545,2258
2011,5,22,3078,1576
2011,5,23,3435,834
2011,5,24,3828,659
2011,5,25,4227,739
2011,5,26,3908,757
2011,5,27,3801,869
2011,5,28,2755,2001
2011,5,29,2431,2354
2011,5,30,2543,1549
2011,5,31,3303,671
2011,6,1,3453,512
2011,6,2,4226,736
2011,6,3,4400,898
2011,6,4,3471,1868
2011,6,5,3218,1684
2011,6,6,3865,673
2011,6,7,4059,761
2011,6,8,3715,675
2011,6,9,3349,562
2011,6,10,3763,815
2011,6,11,3235,1729
2011,6,12,2991,1467
2011,6,13,4149,863
2011,6,14,4152,727
2011,6,15,4398,769
2011,6,16,3213,545
2011,6,17,3970,862
2011,6,18,3311,1807
2011,6,19,3104,1638
2011,6,20,3306,699
2011,6,21,4051,771
2011,6,22,3835,659
2011,6,23,4036,746
2011,6,24,4013,969
2011,6,25,3417,1782
2011,6,26,3381,1918
2011,6,27,3845,853
2011,6,28,3906,729
2011,6,29,4370,848
2011,6,30,4477,1025
2011,7,1,4107,1244
2011,7,2,2910,2204
2011,7,3,2367,2281
2011,7,4,2975,3060
2011,7,5,3622,1030
2011,7,6,3835,784
2011,7,7,3824,754
2011,7,8,3339,692
2011,7,9,3342,1988
2011,7,10,3135,1743
2011,7,11,3357,721
2011,7,12,3586,661
2011,7,13,3585,748
2011,7,14,4183,888
2011,7,15,4210,1318
2011,7,16,3503,2418
2011,7,17,3291,2006
2011,7,18,3604,841
2011,7,19,3782,751
2011,7,20,3679,644
2011,7,21,3142,632
2011,7,22,2818,562
2011,7,23,2295,987
2011,7,24,2556,1049
2011,7,25,3266,568
2011,7,26,3827,750
2011,7,27,3891,753
2011,7,28,3773,606
2011,7,29,3174,670
2011,7,30,2916,1558
2011,7,31,2776,1524
2011,8,1,3526,729
2011,8,2,4035,800
2011,8,3,3103,467
2011,8,4,3770,799
2011,8,5,3835,1023
2011,8,6,2771,1521
2011,8,7,2483,1298
2011,8,8,3470,845
2011,8,9,3682,906
2011,8,10,3883,884
2011,8,11,3968,812
2011,8,12,3843,1051
2011,8,13,2639,1502
2011,8,14,2481,1338
2011,8,15,3562,775
2011,8,16,3994,721
2011,8,17,4013,668
2011,8,18,3158,639
2011,8,19,3348,797
2011,8,20,3276,1914
2011,8,21,2622,1249
2011,8,22,3923,831
2011,8,23,4605,1276
2011,8,24,4169,945
2011,8,25,3098,435
2011,8,26,3887,768
2011,8,27,889,226
2011,8,28,2917,1414
2011,8,29,3894,729
2011,8,30,4420,774
2011,8,31,4359,688
2011,9,1,4317,783
2011,9,2,3845,873
2011,9,3,2547,1933
2011,9,4,2418,2521
2011,9,5,2115,1236
2011,9,6,2494,204
2011,9,7,1869,118
2011,9,8,1677,153
2011,9,9,3117,417
2011,9,10,3593,1747
2011,9,11,3405,1633
2011,9,12,4013,688
2011,9,13,4047,699
2011,9,14,4130,646
2011,9,15,3218,428
2011,9,16,4000,742
2011,9,17,3077,1432
2011,9,18,2921,1353
2011,9,19,3836,690
2011,9,20,3195,438
2011,9,21,3805,538
2011,9,22,4229,555
2011,9,23,2128,258
2011,9,24,3640,1776
2011,9,25,3464,1544
2011,9,26,3936,684
2011,9,27,3630,477
2011,9,28,3422,480
2011,9,29,4183,653
2011,9,30,4358,830
2011,10,1,1946,478
2011,10,2,2302,616
2011,10,3,3232,330
2011,10,4,3957,486
2011,10,5,4256,559
2011,10,6,4112,639
2011,10,7,4022,949
2011,10,8,3173,2235
2011,10,9,3112,2397
2011,10,10,3596,1514
2011,10,11,3884,666
2011,10,12,2190,217
2011,10,13,2613,290
2011,10,14,3106,528
2011,10,15,3315,1899
2011,10,16,3291,1748
2011,10,17,3852,713
2011,10,18,4101,635
2011,10,19,2163,254
2011,10,20,3715,471
2011,10,21,3620,676
2011,10,22,2807,1499
2011,10,23,2761,1618
2011,10,24,3478,699
2011,10,25,3983,693
2011,10,26,3482,404
2011,10,27,2412,240
2011,10,28,3288,456
2011,10,29,570,57
2011,10,30,2442,885
