Orange,1,Vienna,VA
Orange,2,Dunn Loring,VA
Orange,3,West Falls Church,VA
Orange,4,East Falls Church,VA
Orange,5,Ballston,VA
Orange,6,Virginia Square-GMU,VA
Orange,7,Clarendon,VA
Orange,8,Court House,VA
Orange,9,Rosslyn,VA
Orange,10,Foggy Bottom,DC
Orange,11,Farragut West,DC
Orange,12,McPherson Square,DC
Orange,13,Metro Center,DC
Orange,14,Federal Triangle,DC
Orange,15,Smithsonian,DC
Orange,16,L'Enfant Plaza,DC
Orange,17,Federal Center SW,DC
Orange,18,Capitol South,DC
Orange,19,Eastern Market,DC
Orange,20,Potomac Avenue,DC
Orange,21,Stadium-Armory,DC
Orange,22,Minnesota Avenue,DC
Orange,23,Deanwood,DC
Orange,24,Cheverly,MD
Orange,25,Landover,MD
Orange,26,New Carrollton,MD
Blue,1,Franconia-Springfield,VA
Blue,2,Van Dorn Street,VA
Blue,3,King Street,VA
Blue,4,Braddock Road,VA
Blue,5,Reagan Washington National Airport,VA
Blue,6,Crystal City,VA
Blue,7,Pentagon City,VA
Blue,8,Pentagon,VA
Blue,9,Arlington Cemetery,VA
Blue,10,Rosslyn,VA
Blue,11,Foggy Bottom,DC
Blue,12,Farragut West,DC
Blue,13,McPherson Square,DC
Blue,14,Metro Center,DC
Blue,15,Federal Triangle,DC
Blue,16,Smithsonian,DC
Blue,17,L'Enfant Plaza,DC
Blue,18,Federal Center SW,DC
Blue,19,Capitol South,DC
Blue,20,Eastern Market,DC
Blue,21,Potomac Avenue,DC
Blue,22,Stadium-Armory,DC
Blue,23,Benning Road,DC
Blue,24,Capitol Heights,MD
Blue,25,Addison Road,MD
Blue,26,Morgan Blvd.,MD
Blue,27,Largo Town Center,MD
Yellow,1,Huntington,VA
Yellow,2,Eisenhower Avenue,VA
Yellow,3,King Street,VA
Yellow,4,Braddock Road,VA
Yellow,5,Reagan Washington National Airport,VA
Yellow,6,Crystal City,VA
Yellow,7,Pentagon City,VA
Yellow,8,Pentagon,VA
Yellow,9,L'Enfant Plaza,DC
Yellow,10,Archives-Navy Memorial,DC
Yellow,11,Gallery Place-Chinatown,DC
Yellow,12,Mt. Vernon Square-UDC,DC
Yellow,13,Shaw-Howard University,DC
Yellow,14,U Street-Cardozo,DC
Yellow,15,Columbia Heights,DC
Yellow,16,Georgia Avenue-Petworth,DC
Yellow,17,Fort Totten,DC
Green,1,Branch Avenue,DC
Green,2,Suitland,MD
Green,3,Naylor Road,MD
Green,4,Southern Avenue,MD
Green,5,Congress Heights,DC
Green,6,Anacostia,DC
Green,7,Navy Yard,DC
Green,8,Waterfront,DC
Green,9,L'Enfant Plaza,DC
Green,10,Archives-Navy Memorial,DC
Green,11,Gallery Place-Chinatown,DC
Green,12,Mt. Vernon Square-UDC,DC
Green,13,Shaw-Howard University,DC
Green,14,U Street-Cardozo,DC
Green,15,Columbia Heights,DC
Green,16,Georgia Avenue-Petworth,DC
Green,17,Fort Totten,DC
Green,18,West Hyattsville,MD
Green,19,Prince George's Plaza,MD
Green,20,College Park-U of Md,MD
Green,21,Greenbelt,MD
Red,1,Shady Grove,MD
Red,2,Rockville,MD
Red,3,Twinbrook,MD
Red,4,White Flint,MD
Red,5,Grosvenor,MD
Red,6,Medical Center,MD
Red,7,Bethesda,MD
Red,8,Friendship Heights,DC
Red,9,Tenleytown-AU,DC
Red,10,Van Ness-UDC,DC
Red,11,Cleveland Park,DC
Red,12,Woodley Park-Zoo,DC
Red,13,Dupont Circle,DC
Red,14,Farragut North,DC
Red,15,Metro Center,DC
Red,16,Gallery Place-Chinatown,DC
Red,17,Judiciary Square,DC
Red,18,Union Station,DC
Red,19,New York Ave,DC
Red,20,Rhode Island Avenue,DC
Red,21,Brookland,DC
Red,22,Fort Totten,DC
Red,23,Takoma,DC
Red,24,Silver Spring,MD
Red,25,Forest Glen,MD
Red,26,Wheaton,MD
Red,27,Glenmont,MD
