Year,Month,Minimum,Tier 1,Tier 2,Maximum
2000,1,$1.10,$0.19,$0.17,$3.25
2000,2,$1.10,$0.19,$0.17,$3.25
2000,3,$1.10,$0.19,$0.17,$3.25
2000,4,$1.10,$0.19,$0.17,$3.25
2000,5,$1.10,$0.19,$0.17,$3.25
2000,6,$1.10,$0.19,$0.17,$3.25
2000,7,$1.10,$0.19,$0.17,$3.25
2000,8,$1.10,$0.19,$0.17,$3.25
2000,9,$1.10,$0.19,$0.17,$3.25
2000,10,$1.10,$0.19,$0.17,$3.25
2000,11,$1.10,$0.19,$0.17,$3.25
2000,12,$1.10,$0.19,$0.17,$3.25
2001,1,$1.10,$0.19,$0.17,$3.25
2001,2,$1.10,$0.19,$0.17,$3.25
2001,3,$1.10,$0.19,$0.17,$3.25
2001,4,$1.10,$0.19,$0.17,$3.25
2001,5,$1.10,$0.19,$0.17,$3.25
2001,6,$1.10,$0.19,$0.17,$3.25
2001,7,$1.10,$0.19,$0.17,$3.25
2001,8,$1.10,$0.19,$0.17,$3.25
2001,9,$1.10,$0.19,$0.17,$3.25
2001,10,$1.10,$0.19,$0.17,$3.25
2001,11,$1.10,$0.19,$0.17,$3.25
2001,12,$1.10,$0.19,$0.17,$3.25
2002,1,$1.10,$0.19,$0.17,$3.25
2002,2,$1.10,$0.19,$0.17,$3.25
2002,3,$1.10,$0.19,$0.17,$3.25
2002,4,$1.10,$0.19,$0.17,$3.25
2002,5,$1.10,$0.19,$0.17,$3.25
2002,6,$1.10,$0.19,$0.17,$3.25
2002,7,$1.10,$0.19,$0.17,$3.25
2002,8,$1.10,$0.19,$0.17,$3.25
2002,9,$1.10,$0.19,$0.17,$3.25
2002,10,$1.10,$0.19,$0.17,$3.25
2002,11,$1.10,$0.19,$0.17,$3.25
2002,12,$1.10,$0.19,$0.17,$3.25
2003,1,$1.10,$0.19,$0.17,$3.25
2003,2,$1.10,$0.19,$0.17,$3.25
2003,3,$1.10,$0.19,$0.17,$3.25
2003,4,$1.10,$0.19,$0.17,$3.25
2003,5,$1.10,$0.19,$0.17,$3.25
2003,6,$1.10,$0.19,$0.17,$3.25
2003,7,$1.20,$0.21,$0.19,$3.60
2003,8,$1.20,$0.21,$0.19,$3.60
2003,9,$1.20,$0.21,$0.19,$3.60
2003,10,$1.20,$0.21,$0.19,$3.60
2003,11,$1.20,$0.21,$0.19,$3.60
2003,12,$1.20,$0.21,$0.19,$3.60
2004,1,$1.20,$0.21,$0.19,$3.60
2004,2,$1.20,$0.21,$0.19,$3.60
2004,3,$1.20,$0.21,$0.19,$3.60
2004,4,$1.20,$0.21,$0.19,$3.60
2004,5,$1.20,$0.21,$0.19,$3.60
2004,6,$1.20,$0.21,$0.19,$3.60
2004,7,$1.35,$0.22,$0.20,$3.90
2004,8,$1.35,$0.22,$0.20,$3.90
2004,9,$1.35,$0.22,$0.20,$3.90
2004,10,$1.35,$0.22,$0.20,$3.90
2004,11,$1.35,$0.22,$0.20,$3.90
2004,12,$1.35,$0.22,$0.20,$3.90
2005,1,$1.35,$0.22,$0.20,$3.90
2005,2,$1.35,$0.22,$0.20,$3.90
2005,3,$1.35,$0.22,$0.20,$3.90
2005,4,$1.35,$0.22,$0.20,$3.90
2005,5,$1.35,$0.22,$0.20,$3.90
2005,6,$1.35,$0.22,$0.20,$3.90
2005,7,$1.35,$0.22,$0.20,$3.90
2005,8,$1.35,$0.22,$0.20,$3.90
2005,9,$1.35,$0.22,$0.20,$3.90
2005,10,$1.35,$0.22,$0.20,$3.90
2005,11,$1.35,$0.22,$0.20,$3.90
2005,12,$1.35,$0.22,$0.20,$3.90
2006,1,$1.35,$0.22,$0.20,$3.90
2006,2,$1.35,$0.22,$0.20,$3.90
2006,3,$1.35,$0.22,$0.20,$3.90
2006,4,$1.35,$0.22,$0.20,$3.90
2006,5,$1.35,$0.22,$0.20,$3.90
2006,6,$1.35,$0.22,$0.20,$3.90
2006,7,$1.35,$0.22,$0.20,$3.90
2006,8,$1.35,$0.22,$0.20,$3.90
2006,9,$1.35,$0.22,$0.20,$3.90
2006,10,$1.35,$0.22,$0.20,$3.90
2006,11,$1.35,$0.22,$0.20,$3.90
2006,12,$1.35,$0.22,$0.20,$3.90
2007,1,$1.35,$0.22,$0.20,$3.90
2007,2,$1.35,$0.22,$0.20,$3.90
2007,3,$1.35,$0.22,$0.20,$3.90
2007,4,$1.35,$0.22,$0.20,$3.90
2007,5,$1.35,$0.22,$0.20,$3.90
2007,6,$1.35,$0.22,$0.20,$3.90
2007,7,$1.35,$0.22,$0.20,$3.90
2007,8,$1.35,$0.22,$0.20,$3.90
2007,9,$1.35,$0.22,$0.20,$3.90
2007,10,$1.35,$0.22,$0.20,$3.90
2007,11,$1.35,$0.22,$0.20,$3.90
2007,12,$1.35,$0.22,$0.20,$3.90
2008,1,$1.65,$0.26,$0.23,$4.50
2008,2,$1.65,$0.26,$0.23,$4.50
2008,3,$1.65,$0.26,$0.23,$4.50
2008,4,$1.65,$0.26,$0.23,$4.50
2008,5,$1.65,$0.26,$0.23,$4.50
2008,6,$1.65,$0.26,$0.23,$4.50
2008,7,$1.65,$0.26,$0.23,$4.50
2008,8,$1.65,$0.26,$0.23,$4.50
2008,9,$1.65,$0.26,$0.23,$4.50
2008,10,$1.65,$0.26,$0.23,$4.50
2008,11,$1.65,$0.26,$0.23,$4.50
2008,12,$1.65,$0.26,$0.23,$4.50
2009,1,$1.65,$0.26,$0.23,$4.50
2009,2,$1.65,$0.26,$0.23,$4.50
2009,3,$1.65,$0.26,$0.23,$4.50
2009,4,$1.65,$0.26,$0.23,$4.50
2009,5,$1.65,$0.26,$0.23,$4.50
2009,6,$1.65,$0.26,$0.23,$4.50
2009,7,$1.65,$0.26,$0.23,$4.50
2009,8,$1.65,$0.26,$0.23,$4.50
2009,9,$1.65,$0.26,$0.23,$4.50
2009,10,$1.65,$0.26,$0.23,$4.50
2009,11,$1.65,$0.26,$0.23,$4.50
2009,12,$1.65,$0.26,$0.23,$4.50
2010,1,$1.65,$0.26,$0.23,$4.50
2010,2,$1.65,$0.26,$0.23,$4.50
2010,3,$1.75,$0.26,$0.23,$4.60
2010,4,$1.75,$0.26,$0.23,$4.60
2010,5,$1.75,$0.26,$0.23,$4.60
2010,6,$1.75,$0.26,$0.23,$4.60
2010,7,$1.95,$0.30,$0.27,$5.00
2010,8,$1.95,$0.30,$0.27,$5.00
2010,9,$1.95,$0.30,$0.27,$5.00
2010,10,$1.95,$0.30,$0.27,$5.00
2010,11,$1.95,$0.30,$0.27,$5.00
2010,12,$1.95,$0.30,$0.27,$5.00
2011,1,$1.95,$0.30,$0.27,$5.00
2011,2,$1.95,$0.30,$0.27,$5.00
2011,3,$1.95,$0.30,$0.27,$5.00
2011,4,$1.95,$0.30,$0.27,$5.00
2011,5,$1.95,$0.30,$0.27,$5.00
