STATION,STATION_NAME,DATE,DT90,DX32,DP10,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000101,0,10,1,320,254,971,373,217,-117,66,-46,10
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000201,0,1,0,226,178,498,26,278,-94,108,-19,45
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000301,0,0,2,490,0,1181,0,300,-50,168,33,101
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000401,0,0,0,244,0,1218,0,283,0,181,70,125
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000501,8,0,0,173,0,704,0,367,39,268,125,196
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000601,14,0,2,282,0,1138,0,372,83,302,177,239
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000701,10,0,1,272,0,1211,0,344,128,306,176,241
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000801,9,0,0,218,0,1116,0,356,117,302,181,242
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000901,2,0,1,546,0,955,0,322,44,269,140,204
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20001001,0,0,0,0,0,0,0,311,-6,227,77,152
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20001101,0,0,0,229,0,662,0,233,-78,141,9,75
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20001201,0,5,1,297,51,872,38,156,-106,50,-61,-5
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010101,0,0,0,246,25,665,54,156,-94,59,-48,6
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010201,0,1,0,196,76,543,61,222,-78,100,-17,42
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010301,0,0,1,409,0,1120,0,183,-50,115,-2,57
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010401,3,0,0,168,0,549,0,328,-17,208,68,138
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010501,4,0,2,384,0,1200,0,350,44,258,122,190
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010601,14,0,2,381,0,1425,0,372,94,306,186,246
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010701,9,0,1,356,0,1434,0,356,128,308,180,244
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010801,15,0,2,396,0,1337,0,389,156,324,204,264
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010901,1,0,0,185,0,488,0,328,50,278,132,205
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20011001,0,0,0,107,0,216,0,306,-22,232,65,148
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20011101,0,0,0,160,0,231,0,283,-39,194,25,110
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20021201,0,2,1,348,127,1265,135,167,-106,67,-19,24
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030101,0,8,0,208,76,703,107,172,-128,34,-46,-6
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030201,0,4,2,617,356,2064,302,117,-94,44,-38,3
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030301,0,1,1,485,102,1107,0,256,-72,139,17,78
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030401,0,0,0,175,0,736,0,306,0,181,67,124
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030501,0,0,3,655,0,2094,0,289,61,207,121,164
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030601,5,0,3,414,0,2418,0,344,117,268,173,221
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030701,11,0,3,389,0,1852,0,344,172,303,205,254
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030801,10,0,2,290,0,1317,0,344,150,307,210,258
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030901,0,0,3,701,0,1934,0,306,78,261,161,211
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20031001,0,0,3,384,0,1291,0,261,11,192,77,134
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20031101,0,0,2,442,0,1436,0,283,-28,172,59,116
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20031201,0,0,1,297,76,1218,125,167,-39,87,-11,37
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040101,0,14,0,140,127,442,148,228,-139,37,-55,-9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040201,0,1,1,356,102,648,3,156,-100,75,-28,24
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040301,0,0,1,267,0,574,0,261,-44,145,27,86
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040401,1,0,1,348,0,1119,0,333,-6,188,81,134
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040501,5,0,0,229,0,644,0,333,72,279,164,221
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040601,5,0,0,218,0,1113,0,333,133,278,178,228
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040701,6,0,2,635,0,1616,0,333,183,300,210,255
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040801,4,0,1,572,0,1164,0,333,133,293,196,244
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040901,0,0,2,472,0,1145,0,311,94,265,165,215
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20041001,0,0,0,94,0,337,0,256,28,193,86,140
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20041101,0,0,2,457,0,1212,0,267,-17,156,52,104
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20041201,0,2,0,224,0,689,0,172,-117,90,-15,38
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050101,0,8,1,465,102,896,165,217,-128,66,-23,21
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050201,0,0,0,102,102,266,0,183,-78,98,-16,41
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050301,0,0,2,335,51,1310,56,217,-61,104,11,57
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050401,0,0,1,439,0,905,0,306,22,201,79,140
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050501,0,0,2,394,0,1355,0,300,28,220,107,163
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050601,9,0,1,290,0,762,0,344,117,301,196,246
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050701,14,0,1,544,0,1476,0,367,183,317,218,267
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050801,8,0,1,356,0,707,0,356,144,308,214,258
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050901,6,0,0,25,0,33,0,339,72,300,170,235
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20051001,0,0,2,1265,0,2557,0,283,22,199,106,152
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20051101,0,0,0,211,0,537,0,250,-56,155,43,99
