STATION,STATION_NAME,DATE,DT90,DT32,DP10,EMXP,MXSD,TPCP,TSNW,MMXT,MMNT,MNTM
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20040101,0,26,0,89,127,343,157,32,-48,-8
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20040201,0,20,1,406,102,579,0,81,-13,34
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20040301,0,5,0,216,0,532,0,145,42,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20040401,1,1,1,300,0,978,0,191,90,141
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20040501,2,0,0,170,0,757,0,270,172,221
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20040601,3,0,1,320,0,1168,0,274,186,230
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20040701,4,0,2,554,0,1773,0,299,218,258
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20040801,1,0,1,617,0,1293,0,283,204,244
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20040901,0,0,1,625,0,1014,0,261,179,220
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20041001,0,0,0,213,0,442,0,187,104,146
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20041101,0,0,2,523,0,1143,0,149,62,106
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20041201,0,16,0,226,0,774,3,89,0,45
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20050101,0,17,1,462,51,842,162,61,-16,23
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20050201,0,17,0,124,76,414,133,90,-6,42
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20050301,0,12,2,470,51,1134,20,106,16,61
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20050401,0,0,2,455,0,1100,0,196,86,141
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20050501,0,0,2,668,0,1172,0,216,116,166
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20050601,7,0,2,262,0,731,0,290,195,243
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20050701,13,0,2,544,0,1541,0,313,226,269
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20050801,12,0,1,297,0,593,0,311,224,267
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20050901,7,0,0,23,0,29,0,293,185,239
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20051001,0,0,2,932,0,2391,0,199,117,158
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20051101,0,7,0,160,0,489,0,154,48,101
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20051201,0,21,0,236,76,849,123,62,-13,24
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20060101,0,11,0,201,0,825,0,107,16,61
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20060201,0,17,0,198,178,626,223,81,-8,37
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20060301,0,10,0,8,0,14,0,141,35,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20060401,0,0,1,274,0,788,0,209,96,153
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20060501,2,0,0,206,0,562,0,238,129,184
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20060601,5,0,3,1318,0,3562,0,285,188,236
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20060701,14,0,0,221,0,904,0,316,222,269
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20060801,15,0,0,201,0,262,0,318,222,270
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20060901,0,0,3,554,0,1604,0,238,159,199
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20061001,0,0,2,333,0,1286,0,190,91,140
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20061101,0,1,3,376,0,1313,0,147,61,104
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20061201,0,9,0,178,0,395,0,116,20,68
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070101,0,20,1,262,25,625,33,90,7,48
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070201,0,25,0,226,76,565,151,34,-46,-6
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070301,0,10,1,455,25,810,49,145,30,87
