Riders,Year,Month,Day,Weekday,PRCP,SNWD,SNOW,TMAX,TMIN,WT05,WT16,WT18,WT03,Gas_Price,Labor Force,Employment,Unemployment,Unemp_Rate,Holiday,Registered,Casual,Cars,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Fri,Mon,Sat,Sun,Thu,Tue,Wed,RidersPC
129000,2004,1,1,Thu,0.0,0.0,0.0,55.040000000000006,35.06,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,1,0.0,0.0,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1449.438202247191
419000,2004,1,2,Fri,0.14960629921259844,0.0,0.0,50.0,42.08,0.0,1.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2950.7042253521126
222000,2004,1,3,Sat,0.0,0.0,0.0,68.0,42.980000000000004,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2494.38202247191
140000,2004,1,4,Sun,0.0,0.0,0.0,71.96000000000001,46.04,0.0,1.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2121.212121212121
564000,2004,1,5,Mon,0.3110236220472441,0.0,0.0,48.92,41.0,0.0,1.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4700.0
609000,2004,1,6,Tue,0.0,0.0,0.0,42.08,24.08,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5075.0
609000,2004,1,7,Wed,0.0,0.0,0.0,32.0,19.939999999999998,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5075.0
611000,2004,1,8,Thu,0.0,0.0,0.0,35.06,19.939999999999998,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5091.666666666667
624000,2004,1,9,Fri,0.011811023622047244,0.0,0.31496062992125984,33.98,17.96,0.0,0.0,1.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4394.366197183099
201000,2004,1,10,Sat,0.0,0.0,0.0,21.02,8.059999999999999,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2258.4269662921347
135000,2004,1,11,Sun,0.0,0.0,0.0,32.0,14.0,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2045.4545454545455
618000,2004,1,12,Mon,0.0,0.0,0.0,51.980000000000004,28.04,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5150.0
660000,2004,1,13,Tue,0.0,0.0,0.0,53.96,32.0,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5500.0
661000,2004,1,14,Wed,0.0,0.0,0.0,33.08,24.98,0.0,0.0,1.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5508.333333333333
628000,2004,1,15,Thu,0.0,0.0,0.0,35.96,19.939999999999998,0.0,0.0,1.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5233.333333333333
594000,2004,1,16,Fri,0.0,0.0,0.0,30.02,15.079999999999998,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4183.098591549296
236000,2004,1,17,Sat,0.07874015748031496,0.0,0.1968503937007874,35.96,21.02,0.0,1.0,1.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2651.6853932584268
148000,2004,1,18,Sun,0.35039370078740156,0.0,0.0,39.019999999999996,28.04,0.0,1.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2242.4242424242425
220000,2004,1,19,Mon,0.0,0.0,0.0,30.92,23.0,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,1,0.0,0.0,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2471.9101123595506
617000,2004,1,20,Tue,0.0,0.0,0.0,30.92,21.92,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5141.666666666667
647000,2004,1,21,Wed,0.0,0.0,0.0,30.92,19.04,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5391.666666666667
687000,2004,1,22,Thu,0.0,0.0,0.0,48.92,23.0,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5725.0
640000,2004,1,23,Fri,0.0,0.0,0.0,26.96,17.06,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4507.042253521126
221000,2004,1,24,Sat,0.0,0.0,0.0,28.04,19.04,0.0,0.0,1.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2483.14606741573
136000,2004,1,25,Sun,0.24015748031496062,0.0,3.5039370078740157,21.92,14.0,0.0,0.0,1.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2060.6060606060605
436000,2004,1,26,Mon,0.0984251968503937,5.0,0.984251968503937,21.92,15.98,0.0,1.0,1.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3633.3333333333335
517000,2004,1,27,Tue,0.11023622047244094,5.0,1.1811023622047245,30.92,21.92,0.0,1.0,1.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4308.333333333333
614000,2004,1,28,Wed,0.0,5.0,0.0,30.02,21.02,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5116.666666666667
655000,2004,1,29,Thu,0.0,5.0,0.0,39.92,15.98,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5458.333333333333
633000,2004,1,30,Fri,0.0,4.015748031496063,0.0,30.02,19.04,0.0,0.0,1.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4457.7464788732395
215000,2004,1,31,Sat,0.0,4.015748031496063,0.0,26.96,14.0,0.0,0.0,0.0,0.0,1.6,2182423,2093638,88785,4.1,0,0.0,0.0,89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2415.7303370786517
134000,2004,2,1,Sun,0.0,4.015748031496063,0.0,33.98,15.079999999999998,0.0,0.0,0.0,0.0,1.66,2191490,2103562,87928,4.0,0,0.0,0.0,66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2030.3030303030303
615000,2004,2,2,Mon,0.0,2.9921259842519685,0.0,39.019999999999996,17.96,0.0,0.0,0.0,0.0,1.66,2191490,2103562,87928,4.0,0,0.0,0.0,120,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5125.0
598000,2004,2,3,Tue,0.531496062992126,2.9921259842519685,0.0,42.08,28.04,0.0,1.0,0.0,0.0,1.66,2191490,2103562,87928,4.0,0,0.0,0.0,120,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4983.333333333333
659000,2004,2,4,Wed,0.0,0.984251968503937,0.0,42.980000000000004,30.92,0.0,0.0,0.0,0.0,1.66,2191490,2103562,87928,4.0,0,0.0,0.0,120,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5491.666666666667
652000,2004,2,5,Thu,0.07086614173228346,0.984251968503937,0.0,35.96,26.060000000000002,0.0,1.0,0.0,0.0,1.66,2191490,2103562,87928,4.0,0,0.0,0.0,120,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5433.333333333333
603000,2004,2,6,Fri,1.5984251968503937,0.984251968503937,0.0,37.04,30.92,0.0,1.0,0.0,0.0,1.66,2191490,2103562,87928,4.0,0,0.0,0.0,142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4246.478873239436
238000,2004,2,7,Sat,0.0,0.0,0.0,46.04,32.0,0.0,1.0,0.0,0.0,1.66,2191490,2103562,87928,4.0,0,0.0,0.0,89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2674.1573033707864
141000,2004,2,8,Sun,0.0,0.0,0.0,37.04,26.060000000000002,0.0,0.0,0.0,0.0,1.66,2191490,2103562,87928,4.0,0,0.0,0.0,66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2136.3636363636365
